title,artist,streams,id,image,preview,popularity,url,release_date,artistId,rap,pop,edm,rock,country,latin,kpop
Something in the Orange,Zach Bryan,396456135,3WMj8moIAXJhHsyLaqIIHI,https://i.scdn.co/image/ab67616d0000b273b2b6670e3aca9bcd55fbabbb,https://p.scdn.co/mp3-preview/d33dc9df586e24c9d8f640df08b776d94680f529?cid=e06033cb82944a2fabf676f565716d87,90.0,https://open.spotify.com/track/3WMj8moIAXJhHsyLaqIIHI,2022-04-22,40ZNYROS4zLfyyBSs2PGe2,,True,,,True,,
Redbone,Childish Gambino,392334227,0WtDGnWL2KrMCk0mI1Gpwz,https://i.scdn.co/image/ab67616d0000b2737582716b3666a5235d5af4ea,https://p.scdn.co/mp3-preview/14918511e11a9e46fa170413821e5f89bd31872a?cid=e06033cb82944a2fabf676f565716d87,85.0,https://open.spotify.com/track/0WtDGnWL2KrMCk0mI1Gpwz,2016-12-02,73sIBHcqh3Z3NyqHKZ7FOL,True,,,,,,
Levitating,Dua Lipa,387860108,5nujrmhLynf4yMoMtj8AQF,https://i.scdn.co/image/ab67616d0000b2732172b607853fa89cefa2beb4,https://p.scdn.co/mp3-preview/6af6db91dba9103cca41d6d5225f6fe120fcfcd3?cid=e06033cb82944a2fabf676f565716d87,85.0,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF,2020-03-27,6M2wZ9GZgrQXHCFfjv46we,,True,True,,,,
bad guy,Billie Eilish,386217738,2Fxmhks0bxGSBdJ92vM42m,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,https://p.scdn.co/mp3-preview/3d1ec5e181c3427ead96e3be34d606e3fc522a71?cid=e06033cb82944a2fabf676f565716d87,84.0,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-03-29,6qqNVTkY8uBg9cP3Jd7DAH,,True,,,,,
See You Again,"Tyler, The Creator",384899927,7KA4W4McWYRpgf0fWsJZWB,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,https://p.scdn.co/mp3-preview/c703198293891e3b276800ea6b187cf7951d3d7d?cid=e06033cb82944a2fabf676f565716d87,92.0,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB,2017-07-21,4V8LLVI7PbaPR0K2TGSxFF,True,,,,,,
drivers license,Olivia Rodrigo,381085710,5wANPM4fQCJwkGd4rN57mH,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,https://p.scdn.co/mp3-preview/8265999e85ac5e27aad154a8fdbdd502059e1d00?cid=e06033cb82944a2fabf676f565716d87,88.0,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH,2021-05-21,1McMsnEElThX1knmY4oliG,,True,,,,,
Kiss Me More,Doja Cat,378783736,3DarAbFujv6eYNliUTyqtz,https://i.scdn.co/image/ab67616d0000b273be841ba4bc24340152e3a79a,https://p.scdn.co/mp3-preview/2903cc27c1a5bd03f247a7f83ace394c36d3c75f?cid=e06033cb82944a2fabf676f565716d87,82.0,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz,2021-06-25,5cj0lLjcoR7YOSnhnX0Po5,,True,True,,,,
INDUSTRY BABY,Lil Nas X,373907821,5Z9KJZvQzH6PFmb8SNkxuk,https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd,https://p.scdn.co/mp3-preview/2bfa1aca3b507df2cc3aac0b37bbc05b74c096cd?cid=e06033cb82944a2fabf676f565716d87,79.0,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk,2021-09-17,7jVv8c5Fj3E9VhNjxT4snq,True,,,,,,
You Proof,Morgan Wallen,373903919,5W4kiM2cUYBJXKRudNyxjW,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,https://p.scdn.co/mp3-preview/4ad8dc44f64affca6a646bee5d0ec8899bca67e0?cid=e06033cb82944a2fabf676f565716d87,84.0,https://open.spotify.com/track/5W4kiM2cUYBJXKRudNyxjW,2023-03-03,4oUHIQIBe0LHzYfvXNW4QM,,,,,True,,
ROCKSTAR,DaBaby,373388283,7ytR5pFWmSjzHJIeQkgog4,https://i.scdn.co/image/ab67616d0000b27320e08c8cc23f404d723b5647,https://p.scdn.co/mp3-preview/72babd91d3e74ef7e967d57bb46f9fe217be9320?cid=e06033cb82944a2fabf676f565716d87,79.0,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,2020-04-17,4r63FhuTkUYltbVAg5TQnk,True,True,,,,,
family ties,Baby Keem,370286379,3QFInJAm9eyaho5vBzxInN,https://i.scdn.co/image/ab67616d0000b2731bfa23b13d0504fb90c37b39,https://p.scdn.co/mp3-preview/376965c332ef1da7f59826c2c12160456e960b8b?cid=e06033cb82944a2fabf676f565716d87,84.0,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN,2021-09-10,5SXuuuRpukkTvsLuUknva1,True,,,,,,
505,Arctic Monkeys,363625576,58ge6dfP91o9oXMzq3XkIS,https://i.scdn.co/image/ab67616d0000b2730c8ac83035e9588e8ad34b90,https://p.scdn.co/mp3-preview/1b23606bada6aacb339535944c1fe505898195e1?cid=e06033cb82944a2fabf676f565716d87,82.0,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS,2007-04-24,7Ln80lUS6He07XvHI8qqHH,,,,True,,,
Don't,Bryson Tiller,361363335,3pXF1nA74528Edde4of9CC,https://i.scdn.co/image/ab67616d0000b273d5f3cea8affdca01a0dc754f,https://p.scdn.co/mp3-preview/f7e8de8a2a419c43ddf77af8572e6ad1e4cb64d4?cid=e06033cb82944a2fabf676f565716d87,85.0,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC,2015-10-02,2EMAnMvWE2eb56ToJVfCWs,True,,,,,,
